change,algo,strategy,seed,post_gap,auc_gap,vs_maxmin,epoch0_gap
vm_fail,QI-MRFO,restart,0,0.017772207721848437,0.08519579485782323,1.0077605452449554,0.04447783037121954
vm_fail,QI-MRFO,restart,1,0.027809124095622927,0.08576200915386595,1.014563755043416,0.030569763215201554
vm_fail,QI-MRFO,restart,2,0.029814293528534597,0.06044286653831336,1.0135190110389065,0.031048216084085485
vm_fail,QI-MRFO,restart,3,0.019673667672921016,0.06204106976675784,1.005813788929575,0.01984229684932734
vm_fail,QI-MRFO,restart,4,0.022132996283844207,0.13238679945425308,1.0074667640696078,0.03833270170130556
vm_fail,QI-MRFO,restart,5,0.021311646222323885,0.07756061478219392,1.0105979070756064,0.017162763133198245
vm_fail,QI-MRFO,restart,6,0.02293167118165102,0.10061737150906662,1.0121124540198103,0.026598728744171754
vm_fail,QI-MRFO,restart,7,0.019084621909554633,0.0725031780490454,1.0074502862306922,0.0683811368309602
vm_fail,QI-MRFO,restart,8,0.019713868281377802,0.056006937558904936,1.0056972490682865,0.05749953293626187
vm_fail,QI-MRFO,restart,9,0.015804122912051712,0.09811889841401308,1.0061091263717397,0.020232254787472953
vm_fail,QI-MRFO,continue,0,0.020950637081263584,0.03154235280994469,1.0109096958541461,0.04447783037121954
vm_fail,QI-MRFO,continue,1,0.01834040330749173,0.02653770206638938,1.0052344107414077,0.030569763215201554
vm_fail,QI-MRFO,continue,2,0.026144835850198687,0.033819258115789494,1.0098947378966634,0.031048216084085485
vm_fail,QI-MRFO,continue,3,0.02755677347050589,0.03329620989506648,1.0135802257463464,0.01984229684932734
vm_fail,QI-MRFO,continue,4,0.02544594600820217,0.037827175675235546,1.0107359148270942,0.03833270170130556
vm_fail,QI-MRFO,continue,5,0.021214558302597768,0.028293754268127098,1.01052068591181,0.017162763133198245
vm_fail,QI-MRFO,continue,6,0.016180377300586732,0.03193352028226944,1.005442994274162,0.026598728744171754
vm_fail,QI-MRFO,continue,7,0.0200545448543483,0.03490483056104263,1.0083799049748685,0.0683811368309602
vm_fail,QI-MRFO,continue,8,0.016633356162654253,0.02331651126767235,1.00266160489312,0.05749953293626187
vm_fail,QI-MRFO,continue,9,0.020353260684733983,0.033584204126799244,1.010614256955306,0.020232254787472953
vm_fail,QI-MRFO,shock g=0.25,0,0.0237647517294604,0.043263792475740706,1.0137011726328455,0.04447783037121954
vm_fail,QI-MRFO,shock g=0.25,1,0.019005472877774054,0.032087405441170655,1.005875795321943,0.030569763215201554
vm_fail,QI-MRFO,shock g=0.25,2,0.02463389186968753,0.04003735277469907,1.0084105458677652,0.031048216084085485
vm_fail,QI-MRFO,shock g=0.25,3,0.02573990414201942,0.03569638128396975,1.0117867323390732,0.01984229684932734
vm_fail,QI-MRFO,shock g=0.25,4,0.023207150231601116,0.04382422356933557,1.0085514927784405,0.03833270170130556
vm_fail,QI-MRFO,shock g=0.25,5,0.018198261080881434,0.03344731875156685,1.007545150040102,0.017162763133198245
vm_fail,QI-MRFO,shock g=0.25,6,0.020135293972065094,0.03852400593919368,1.0093616142957476,0.026598728744171754
vm_fail,QI-MRFO,shock g=0.25,7,0.016340988761889316,0.028740139066051596,1.004729452035606,0.0683811368309602
