algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
DMO,n40 m20 uniform high,40,20,1,6000,18.22206719084989,18.22206719084989,17.840309949082226,9.1430415205612,0.9929984075727375,3.7378149032592773,5973,0.04040404040404041,0.07575757575757576,0.26346801346801346,24.977272727272727,1.6742005692281936,0.8413218390804598,,27.515824915824915,22.43872053872054,17e many VMs
QI-DMO,n40 m20 uniform high,40,20,0,6000,12.122064013910222,12.122064013910222,13.110656016587846,9.1430415205612,0.3258240145415166,8.347708463668823,5973,0.0015151515151515152,0.06279461279461279,0.3373737373737374,15.593602693602694,3.348401138456387,0.29833333333333334,0.8610624244064006,19.194612794612794,11.992592592592592,17e many VMs
QI-DMO,n40 m20 uniform high,40,20,1,6000,12.364121237181168,12.364121237181168,13.402508956228965,9.1430415205612,0.3522984894442718,6.029881000518799,5973,0.0021885521885521885,0.08013468013468013,0.33181818181818185,15.003872053872055,2.343880796919471,0.25022988505747124,0.8919256418581012,19.9,10.107744107744107,17e many VMs
Max-Min,n50 m10 bimodal high,50,10,0,6000,27.05759537385895,27.05759537385895,16.064771409780167,25.10693322506205,0.07769416245747301,0.0026237964630126953,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17f bimodal tall barriers
Max-Min,n50 m10 bimodal high,50,10,1,6000,27.05759537385895,27.05759537385895,16.064771409780167,25.10693322506205,0.07769416245747301,0.01743292808532715,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17f bimodal tall barriers
Random,n50 m10 bimodal high,50,10,0,6000,33.674021522953296,33.674021522953296,18.419430770850834,25.10693322506205,0.34122400458449753,1.6361355781555176,6000,0.0,0.0,0.0,0.0,1.3333333333333333,0.9012873563218391,,,,17f bimodal tall barriers
Random,n50 m10 bimodal high,50,10,1,6000,34.0370170651558,34.0370170651558,18.227379974547187,25.10693322506205,0.3556819847347836,1.9461042881011963,6000,0.0,0.0,0.0,0.0,1.0,0.9010114942528736,,,,17f bimodal tall barriers
MRFO,n50 m10 bimodal high,50,10,0,6000,35.45371496260612,35.45371496260612,18.579249180528233,25.10693322506205,0.4121085456672098,2.6646132469177246,5970,0.09898989898989899,0.0430976430976431,0.036026936026936025,31.394276094276094,1.8425460636515913,0.15085057471264368,,35.567003367003366,27.221548821548822,17f bimodal tall barriers
MRFO,n50 m10 bimodal high,50,10,1,6000,39.20985902182194,39.20985902182194,20.556503360069474,25.10693322506205,0.5617143945992645,2.5649571418762207,5970,0.12558922558922558,0.0771043771043771,0.028114478114478113,28.7016835016835,1.1725293132328307,0.14708045977011494,,32.94141414141414,24.461952861952863,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,0,6000,26.803750485748118,26.803750485748118,15.955963165164748,25.10693322506205,0.06758361307912683,5.686315298080444,5970,0.09343434343434344,0.11666666666666667,0.09478114478114479,7.6008417508417505,6.197654941373535,0.014160919540229886,0.9511993865495785,10.243434343434343,4.958249158249158,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,16.030679652648523,25.10693322506205,0.07779985278850766,4.869053840637207,5970,0.1063973063973064,0.1026936026936027,0.08552188552188553,6.996296296296296,5.527638190954774,0.010666666666666666,0.9524373905182846,9.360942760942761,4.631649831649832,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,0,6000,31.120973246569477,31.120973246569477,17.644552594688463,25.10693322506205,0.23953702220803844,2.0760209560394287,5975,0.02304457527333894,0.31303616484440705,0.1727502102607233,6.367367535744323,2.3430962343096233,0.22510344827586207,,7.559555854643338,5.175580221997982,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,1,6000,26.37987249916972,26.37987249916972,15.65324062949543,25.10693322506205,0.05070070735827692,6.29228138923645,5975,0.02624053826745164,0.14129520605550883,0.23700588730025232,6.12767031118587,4.853556485355648,0.1816551724137931,,7.5703230148048455,4.6855028590649175,17f bimodal tall barriers
DMO,n50 m10 bimodal high,50,10,0,6000,42.53234160302763,42.53234160302763,22.104833395816556,25.10693322506205,0.6940476649123886,4.3211352825164795,5973,0.054713804713804715,0.07811447811447811,0.21868686868686868,24.68838383838384,0.6696802276912774,0.6644597701149425,,28.54074074074074,20.836026936026936,17f bimodal tall barriers
DMO,n50 m10 bimodal high,50,10,1,6000,43.40353461736262,43.40353461736262,22.135723539880196,25.10693322506205,0.7287469651624625,4.408354759216309,5973,0.05336700336700337,0.07878787878787878,0.22087542087542086,25.357744107744107,0.6696802276912774,0.6460229885057471,,28.884511784511783,21.83097643097643,17f bimodal tall barriers
QI-DMO,n50 m10 bimodal high,50,10,0,6000,31.197352889850585,31.197352889850585,17.322562519275795,25.10693322506205,0.24257919556296115,7.192822217941284,5970,0.0006734006734006734,0.10286195286195286,0.33047138047138047,15.976767676767677,3.3500837520938025,0.2612413793103448,0.9032152537289136,20.857239057239056,11.096296296296297,17f bimodal tall barriers
QI-DMO,n50 m10 bimodal high,50,10,1,6000,31.09415252971094,31.09415252971094,17.41808451044505,25.10693322506205,0.23846876283051457,7.880853652954102,5970,0.0006734006734006734,0.19528619528619529,0.28535353535353536,15.885690235690236,2.512562814070352,0.27770114942528734,0.8913353250076043,21.086531986531988,10.684848484848485,17f bimodal tall barriers
Max-Min,n50 m10 bimodal high,50,10,0,6000,0.13092901318739078,27.05759537385895,16.064771409780167,25.10693322506205,,0.06575441360473633,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17d makespan+energy
Max-Min,n50 m10 bimodal high,50,10,1,6000,0.13092901318739078,27.05759537385895,16.064771409780167,25.10693322506205,,0.004038572311401367,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17d makespan+energy
